code,brand,fund_id,name
0119H0,KODEX,0119H0,KODEX 28-12 회사채(AA-이상)액티브
0122W0,RISE,44J4,RISE 26-11 회사채(AA-이상)액티브
0123G0,TIGER,0123G0,TIGER 미국AI전력SMR
0127M0,ACE,K55101EP9626,ACE 미국대형가치주액티브
0127P0,ACE,K55101EP9634,ACE 미국대형성장주액티브
0127R0,RISE,44J7,RISE 미국AI클라우드인프라
0128D0,PLUS,006394,PLUS 차이나항셍테크위클리타겟커버드콜
0131A0,SOL,211100,SOL 차이나소비트렌드
0132H0,KODEX,0132H0,KODEX 미국원자력SMR
0132K0,PLUS,006395,PLUS 테슬라위클리커버드콜채권혼합
0138D0,RISE,44J8,RISE 동학개미
0138T0,RISE,44J9,RISE 미국S&P500데일리고정커버드콜
0138Y0,PLUS,006396,PLUS 금채권혼합
0139P0,ACE,K55101EQ7660,ACE 고배당주
0141S0,SOL,211101,SOL 조선기자재
0141T0,SOL,211102,SOL 중기종합채권(AA-이상)액티브
0142D0,TIGER,0142D0,TIGER 미국AI데이터센터TOP4Plus
0144L0,KODEX,0144L0,KODEX 미국성장커버드콜액티브
0144M0,KODEX,0144M0,KODEX 미국드론UAM TOP10
0151P0,RISE,44K0,RISE 코리아전략산업액티브
0151S0,KODEX,0151S0,KODEX 미국AI반도체TOP3플러스
0152E0,SOL,211104,SOL 배당성향탑픽액티브
0153K0,KODEX,0153K0,KODEX 주주환원고배당주
0153P0,ACE,K55101EP9774,ACE 리츠부동산인프라액티브
0153X0,PLUS,006397,PLUS 미국고배당주액티브
0155M0,ACE,K55101ER4245,ACE 미국SMR원자력TOP10
0162L0,KODEX,0162L0,KODEX 차이나AI반도체TOP10
0162Z0,RISE,44K1,RISE 삼성전자SK하이닉스채권혼합50
0164G0,RISE,44K2,RISE 차이나AI반도체TOP4Plus
0166N0,PLUS,006399,PLUS 코스닥150액티브
0166S0,PLUS,006400,PLUS K제조업핵심기업액티브
0166T0,PLUS,006398,PLUS 글로벌저작권핵심기업액티브
0167A0,SOL,211106,SOL AI반도체TOP2플러스
0167B0,SOL,211107,SOL 200타겟위클리커버드콜
0167Z0,KODEX,0167Z0,KODEX 미국우주항공
0172Y0,ACE,K55101ES8039,ACE K수출핵심TOP10산업액티브
0173Y0,KODEX,0173Y0,KODEX 미국AI광통신네트워크
0176E0,RISE,44K3,RISE 미국AI전력인프라액티브
0177N0,KODEX,0177N0,KODEX 삼성전자SK하이닉스채권혼합50
0177R0,TIGER,0177R0,TIGER 반도체TOP10커버드콜액티브
0177X0,ACE,K55101EU0214,ACE K휴머노이드로봇산업TOP2+
0180V0,ACE,K55101ET7451,ACE 미국우주테크액티브
0181L0,SOL,211110,SOL 미국우주항공TOP10
0184L0,PLUS,006402,PLUS 중기종합채권(A-이상)액티브
0184N0,PLUS,006403,PLUS 은채권혼합
0190C0,RISE,44K4,RISE 현대차고정피지컬AI
0190G0,KODEX,0190G0,KODEX 반도체타겟위클리커버드콜
0190Y0,TIGER,0190Y0,TIGER 구글밸류체인
0192L0,RISE,44K6,RISE SK하이닉스단일종목레버리지
0192M0,RISE,44K5,RISE 삼성전자단일종목레버리지
0192S0,SOL,211111,SOL 코스피200채권혼합50 ETF
0192T0,SOL,211112,SOL 코스닥TOP10
0193K0,PLUS,006405,PLUS 삼성전자단일종목레버리지
0193L0,PLUS,006406,PLUS 삼성전자선물단일종목인버스2X
0194M0,ACE,K55101EV7093,ACE 삼성전자단일종목레버리지
0194T0,ACE,K55101EV7101,ACE SK하이닉스단일종목레버리지
0197W0,SOL,211113,SOL SK하이닉스단일종목레버리지
